 China	Asia	30,074,380	[n 1]2022	27,312,548	[n 2]2021	23,009,780	[n 1]2020
 United States	Americas	25,035,164	2022	22,996,100	2021	19,846,720	2020
 European Union[n 3]	Europe	24,048,856	2022	21,648,464	2021	19,885,625	2019
 India	Asia	11,665,486	2022	10,218,573	2021	8,443,360	2020
 Japan	Asia	6,109,961	2022	5,396,819	2021	5,224,850	2019
 Germany	Europe	5,316,933	2022	4,815,479	2021	4,238,800	2020
 Russia	Europe	4,649,674	2022	4,785,445	2021	3,875,690	2020
 Indonesia	Asia	4,023,501	2022	3,566,265	2021	3,130,470	2020
 Brazil	Americas	3,782,763	2022	3,435,882	2021	2,989,430	2020
 United Kingdom	Europe	3,776,044	2022	3,344,468	2021	2,797,980	2020
 France	Europe	3,688,323	2022	3,424,152	2021	2,832,170	2020
 Turkey	Asia	3,320,994	2022	2,591,455	2021	2,393,960	2020
 Italy	Europe	3,022,162	2022	2,713,266	2021	2,322,140	2020
 Mexico	Americas	2,919,875	2022	2,609,993	2021	2,306,320	2020
 South Korea	Asia	2,765,834	2022	2,427,791	2021	2,187,800	2020
 Canada	Americas	2,240,390	2022	1,992,050	2021	1,742,790	2020
 Spain	Europe	2,215,992	2022	1,929,759	2021	1,714,860	2020
 Saudi Arabia	Asia	2,018,260	2022	1,751,178	2021	1,543,240	2020
 Egypt	Africa	1,661,955	2022	1,388,329	2021	1,223,040	2020
 Taiwan	Asia	1,621,702	2022	—	1,143,277	2019
 Australia	Oceania	1,615,286	2022	1,436,442	2021	1,250,900	2020
 Iran	Asia	1,599,249	2022	1,326,346	2020	1,044,310	2020
 Poland	Europe	1,599,020	2022	1,416,885	2021	1,223,460	2020
 Pakistan	Asia	1,512,476	2022	1,323,645	2021	1,021,130	2020
 Thailand	Asia	1,479,644	2022	1,343,720	2021	1,206,620	2020
 Bangladesh	Asia	1,345,646	2022	1,099,767	2021	793,490	2020
 Vietnam	Asia	1,299,690	2022	1,134,151	2021	798,210	2020
 Nigeria	Africa	1,275,297	2022	1,154,070	2021	1,013,530	2020
 Netherlands	Europe	1,226,656	2022	1,118,051	2021	945,480	2020
 Argentina	Americas	1,207,228	2022	1,082,341	2021	893,310	2020
 Philippines	Asia	1,154,875	2022	1,012,714	2021	871,560	2020
 Malaysia	Asia	1,096,507	2022	970,742	2021	855,600	2020
 Colombia	Americas	964,743	2022	866,076	2021	683,940	2020
 South Africa	Africa	949,846	2022	865,816	2021	680,040	2020
 United Arab Emirates	Asia	814,733	2022	660,343	2020	655,790	2019
 Switzerland	Europe	737,838	2022	672,544	2021	590,710	2020
 Romania	Europe	731,466	2022	676,944	2021	556,070	2020
 Belgium	Europe	723,090	2022	682,885	2021	557,110	2020
 Singapore	Asia	700,980	2022	635,267	2021	531,040	2020
 Sweden	Europe	684,458	2022	617,907	2021	524,750	2020
 Ireland	Europe	666,309	2022	535,284	2021	447,970	2020
 Algeria	Africa	600,668	2022	537,072	2021	468,400	2020
 Austria	Europe	599,470	2022	523,293	2021	463,120	2020
 Kazakhstan	Asia	596,666	2022	543,474	2021	475,180	2020
 Ukraine	Europe	588,448	[n 4]2021	588,384	[n 4]2021	516,680	[n 4]2020
 Chile	Americas	575,516	2022	559,158	2021	445,880	2020
 Iraq	Asia	524,210	2022	428,634	2021	372,270	2020
 Peru	Americas	521,841	2022	463,538	2021	371,290	2020
 Hong Kong	Asia	518,743	2022	489,061	2021	420,130	2020
 Czech Republic	Europe	514,732	2022	473,744	2021	409,970	2020
 Israel	Asia	496,841	2022	409,409	2021	353,390	2020
 Portugal	Europe	432,063	2022	369,627	2021	331,640	2020
 Norway	Europe	425,612	2022	428,346	2021	342,060	2020
 Denmark	Europe	411,039	2022	378,645	2021	326,200	2020
 Hungary	Europe	409,834	2022	356,863	2021	302,320	2020
 Greece	Europe	387,801	2022	333,749	2021	292,400	2020
 Morocco	Africa	359,671	2022	309,101	2021	259,420	[n 5]2020
 Ethiopia	Africa	347,847	2022	306,447	2021	264,050	2020
 Uzbekistan	Asia	334,318	2022	296,689	2021	239,420	2020
 Finland	Europe	324,829	2022	304,830	2021	261,390	2020
 Sri Lanka	Asia	318,690	2022	313,002	2021	274,800	2020
 Kenya	Africa	311,753	2022	276,221	2021	226,940	2020
 Qatar	Asia	303,596	2022	274,067	2021	245,660	2020
 New Zealand	Oceania	261,039	2022	237,789	2021	215,600	2020
 Myanmar	Asia	260,274	2022	238,129	2021	247,240	[n 6]2020
 Dominican Republic	Americas	256,446	2022	227,500	2021	184,450	2020
 Kuwait	Asia	248,113	2022	202,011	2020	209,740	2019
 Angola	Africa	245,442	2022	223,319	2021	203,710	2020
 Ecuador	Americas	229,815	2022	208,601	2021	182,240	2020
 Ghana	Africa	217,525	2022	196,050	2021	164,840	2020
 Slovakia	Europe	211,118	2022	179,815	2021	165,570	2020
 Sudan	Africa	207,713	2022	189,393	2021	176,400	2020
 Tanzania	Africa	207,550	2022	175,035	2021	152,790	2020
 Belarus	Europe	201,967	2022	202,672	2021	179,970	2020
 Bulgaria	Europe	198,349	2022	184,244	2021	155,060	2020
 Venezuela	Americas	191,329	2022	506,339	2011	269,068	2018
 Oman	Asia	190,475	2022	158,907	2020	135,790	2019
 Guatemala	Americas	185,849	2022	167,149	2021	141,500	2020
 Ivory Coast	Africa	181,533	2022	160,692	2021	136,480	2020
 Azerbaijan	Asia	178,679	2022	160,730	2021	138,510	2020
 Serbia	Europe	164,835	2022	146,685	2021	125,800	2020
 Panama	Americas	159,863	2022	138,809	2021	109,520	2020
 Tunisia	Africa	151,495	2022	138,392	2021	114,970	2020
 Croatia	Europe	150,433	2022	131,788	2021	107,110	2020
 Nepal	Asia	141,161	2022	126,440	2021	110,720	2020
 Cuba	Americas	—	—	137,000	2017
 Puerto Rico	Americas	135,277	2022	112,668	2020	106,820	2020
 Uganda	Africa	132,010	2022	112,991	2021	99,610	2020
 Lithuania	Europe	130,670	2022	119,263	2021	102,660	2020
 Costa Rica	Americas	129,950	2022	120,188	2021	100,250	2020
 DR Congo	Africa	128,535	2022	112,587	2021	96,030	2020
 Libya	Africa	128,389	2022	162,528	2021	70,650	2020
 Jordan	Asia	123,351	2022	112,466	2021	100,160	2020
 Cameroon	Africa	123,341	2022	110,652	2021	94,940	2020
 Bolivia	Americas	118,802	2022	106,856	2021	92,590	2020
 Turkmenistan	Asia	117,787	2022	96,228	2019	92,330	2019
 Paraguay	Americas	108,290	2022	100,901	2021	87,980	2020
 Slovenia	Europe	105,450	2022	91,917	2021	76,750	2020
 Uruguay	Americas	96,810	2022	85,823	2021	75,060	2020
 Luxembourg	Europe	91,107	2022	86,117	2021	69,720	2020
 Cambodia	Asia	89,289	2022	79,360	2021	70,080	2020
 Bahrain	Asia	87,905	2022	79,392	2021	69,650	2020
 Lebanon	Asia	—	72,370	2021	79,510	2020
 Afghanistan	Asia	—	80,912	2020	77,040	2020
 Zambia	Africa	76,325	2022	68,566	2021	60,120	2020
 Georgia	Europe	73,579	[n 7]2022	63,036	[n 7]2021	52,330	[n 7]2020
 Senegal	Africa	72,703	2022	64,807	2021	55,260	2020
 Latvia	Europe	72,033	2022	64,910	2021	56,920	2020
 Honduras	Americas	69,684	2022	62,920	2021	50,890	2020
 El Salvador	Americas	69,285	2022	63,026	2021	52,260	2020
 Laos	Asia	68,573	2022	64,009	2021	56,790	2020
 Yemen	Asia	67,454	2022	92,756	2013	73,630	2017
 Bosnia and Herzegovina	Europe	62,165	2022	54,978	2021	47,050	2020
 Estonia	Europe	61,389	2022	56,083	2021	47,440	2020
 Burkina Faso	Africa	58,812	2022	54,978	2021	45,160	2020
 Mali	Africa	56,051	2022	51,041	2021	44,890	2020
 Benin	Africa	53,699	2022	47,180	2021	40,290	2020
 Madagascar	Africa	51,849	2022	46,491	2021	41,820	2020
 Albania	Europe	51,189	2022	43,991	2021	37,730	2020
 Syria	Asia	—	—	50,280	2015
 Armenia	Asia	49,767	2022	43,424	2021	37,310	2020
 Mozambique	Africa	48,040	2022	43,172	2021	38,420	2020
 Nicaragua	Americas	47,273	2022	42,437	2021	34,980	2020
 Tajikistan	Asia	47,241	2022	41,810	2021	34,880	2020
 Mongolia	Asia	47,115	2022	42,824	2021	37,600	2020
 Botswana	Africa	47,046	2022	42,200	2021	37,720	2020
 Cyprus	Europe	44,762	[n 8]2022	38,301	[n 8]2021	33,670	[n 8]2020
 Guinea	Africa	43,922	2022	38,853	2021	35,080	2020
 Trinidad and Tobago	Americas	42,136	2022	37,706	2021	33,210	2020
 Moldova	Europe	41,882	[n 9]2022	40,249	[n 9]2021	32,260	[n 9]2020
 North Macedonia	Europe	40,927	2022	37,002	2021	33,020	2020
 Zimbabwe	Africa	40,408	2022	36,892	2021	40,790	2020
 Macau	Asia	40,369	2022	48,591	2021	35,580	2020
 North Korea	Asia	—	—	40,000	2015
 Kyrgyzstan	Asia	39,214	2022	35,398	2021	31,020	2020
 Gabon	Africa	39,093	2022	35,544	2021	32,050	2020
 Papua New Guinea	Oceania	39,083	2022	40,537	2021	36,690	2020
 Haiti	Americas	38,198	2022	36,096	2021	31,620	2020
 Niger	Africa	37,648	2022	32,917	2021	28,970	2020
 Rwanda	Africa	37,586	2022	33,112	2021	27,180	2020
 Malawi	Africa	35,078	2022	32,582	2021	28,440	2020
 Palestine	Asia	33,996	[n 10]2022	30,518	[n 10]2021	25,910	[n 11]2020
 Guyana	Americas	33,761	2022	19,358	2021	14,690	2020
 Jamaica	Americas	32,818	2022	29,812	2021	25,890	2020
 Mauritius	Africa	32,013	2022	28,157	2021	24,640	2020
 Brunei	Asia	31,904	2022	29,415	2021	27,230	2020
 Mauritania	Africa	30,013	2022	26,702	2021	23,170	2020
 Chad	Africa	29,927	2022	26,904	2021	24,970	2020
 Malta	Europe	29,367	2022	24,662	2021	20,600	2020
 Equatorial Guinea	Africa	29,117	2022	26,282	2021	23,860	2020
 Namibia	Africa	28,021	2022	25,369	2021	22,600	2020
 Kosovo	Europe	25,362	2022	22,978	2021	19,130	2020
 Iceland	Europe	24,888	2022	21,461	2021	19,160	2020
 Congo	Africa	23,031	2022	20,461	2021	19,030	2020
 Togo	Africa	22,781	2022	20,180	2021	17,450	2020
 Somalia	Africa	20,642	2022	21,307	2021	13,190	2020
 Sierra Leone	Africa	16,386	2022	14,786	2021	13,150	2020
 Montenegro	Europe	16,195	2022	14,137	2021	11,360	2020
 Bahamas	Americas	15,661	2022	13,538	2021	12,100	2020
 South Sudan	Africa	13,633	2022	13,231	2015	20,010	2017
 Eswatini	Africa	12,725	2022	11,508	2021	9,740	2020
 Fiji	Oceania	12,685	2022	10,889	2021	9,860	2020
 Maldives	Asia	12,071	2022	9,911	2021	7,050	2020
 New Caledonia	Oceania	—	—	11,110	2017
 Burundi	Africa	10,898	2022	9,721	2021	8,690	2020
 Suriname	Americas	10,707	2022	9,869	2021	9,460	2020
 Bhutan	Asia	9,937	2022	8,588	2020	8,420	2020
 Liberia	Africa	8,841	2022	8,044	2021	6,850	2020
 Monaco	Europe	—	—	7,672	2015
 Eritrea	Africa	7,611	2022	5,224	2011	9,702	2017
 Isle of Man	Europe	—	—	6,792	2015
 Gambia	Africa	6,776	2022	6,053	2021	5,220	2020
 Djibouti	Africa	6,619	2022	5,939	2021	5,420	2020
 Lesotho	Africa	6,395	2022	5,791	2021	4,880	2020
 Guam	Oceania	—	—	5,793	2016
 Jersey	Europe	—	—	5,569	2016
 French Polynesia	Oceania	—	—	5,490	2017
 Central African Republic	Africa	5,460	2022	5,021	2021	4,483	2019
 Bermuda	Americas	—	5,441	2021	5,230	2019
 Guinea-Bissau	Africa	5,406	2022	4,146	2021	3,640	2020
 East Timor	Asia	5,347	2022	5,937	2021	4,190	2020
 Andorra	Europe	5,301	2022	—	3,327	2015
 Aruba	Americas	5,066	2022	3,329	2020	4,158	2017
 Barbados	Americas	5,010	2022	4,263	2021	3,700	2020
 Cayman Islands	Americas	—	4,763	2020	4,780	2019
 Liechtenstein	Europe	—	—	4,978	2014
 Cape Verde	Africa	4,823	[n 12]2022	3,949	[n 12]2021	3,360	[n 12]2020
 Belize	Americas	4,224	2022	2,803	2021	2,430	2020
 Curaçao	Americas	—	3,205	2020	3,860	2019
 U.S. Virgin Islands	Americas	—	—	3,872	2016
 Seychelles	Africa	3,725	2022	2,960	2021	2,400	2020
 Guernsey	Europe	—	—	3,465	2015
 Comoros	Africa	3,214	2022	2,918	2021	2,730	2020
 Saint Lucia	Americas	3,008	2022	2,591	2021	2,250	2020
 San Marino	Europe	2,452	2022	2,022	2020	2,060	2019
 Greenland	Americas	—	—	2,413	2015
 Antigua and Barbuda	Americas	2,224	2022	1,959	2021	1,760	2020
 Grenada	Americas	2,098	2022	1,885	2021	1,700	2020
 Gibraltar	Europe	—	—	2,044	2014
 Faroe Islands	Europe	—	—	2,001	2014
 Saint Vincent and the Grenadines	Americas	1,751	2022	1,560	2021	1,340	2020
 Solomon Islands	Oceania	1,671	2022	1,870	2021	1,710	2020
 Saint Kitts and Nevis	Americas	1,619	2022	1,406	2021	1,240	2020
 Sint Maarten (Dutch part)	Americas	—	1,471	2018	1,440	2018
 Northern Mariana Islands	Oceania	—	—	1,242	2016
 Samoa	Oceania	1,183	2022	1,285	2021	1,250	2020
 São Tomé and Príncipe	Africa	1,069	2022	993	2021	890	2020
 Dominica	Americas	966	2022	864	2021	710	2020
 Vanuatu	Oceania	922	2022	976	2021	850	2020
 Turks and Caicos Islands	Americas	—	918	2021	820	2020
 Tonga	Oceania	666	2022	708	2020	670	2019
 American Samoa	Oceania	—	—	658	2016
 Saint Martin (French part)	Americas	—	—	562	2005
 British Virgin Islands	Americas	—	—	500	2017
 Micronesia	Oceania	386	2022	412.03	2021	390	2019
 Cook Islands	Oceania	—	—	300	2016
 Kiribati	Oceania	268	2022	259	2020	270	2020
 Saint Pierre and Miquelon	Americas	—	—	261	2015
 Marshall Islands	Oceania	245	2022	249	2021	240	2019
 Palau	Oceania	236	2022	295	2020	320	2019
 Falkland Islands	Americas	—	—	206	2015
 Anguilla	Americas	—	—	175	2009
 Montserrat	Americas	—	—	167	2011
 Nauru	Oceania	145	2022	164	2021	150	2019
 Tuvalu	Oceania	63	2022	61	2021	50	2020
 Wallis and Futuna	Oceania	—	—	60	2004
 Saint Helena, Ascension and Tristan da Cunha	Africa	—	—	31	2009
 Niue	Oceania	—	—	10	2003
 Tokelau	Oceania	—	—	8	2017
